source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs
884951489919636352,8.056618,8.532945,7.4159985,1.1169462,NOT_AVAILABLE,0,true,27,26
3121767949417094528,7.3993754,8.087625,6.602472,1.4851527,NOT_AVAILABLE,0,false,20,18
3311148828615843328,8.887173,9.311207,8.297889,1.0133181,VARIABLE,0,true,25,25
2500840472982387200,7.071794,7.583046,6.405748,1.1772981,NOT_AVAILABLE,0,true,22,22
5170039467784804096,7.4652786,8.087434,6.713721,1.373713,NOT_AVAILABLE,0,false,22,20
3245657582441858688,9.306446,9.720986,8.695747,1.025239,NOT_AVAILABLE,0,true,33,34
3139253409815993344,7.6314583,8.189801,6.6237435,1.5660577,NOT_AVAILABLE,0,false,21,20
3433490868965427712,7.233214,7.933936,6.4279914,1.5059447,NOT_AVAILABLE,0,false,18,17
3131481481815806976,6.5821657,6.802699,6.208722,0.593977,NOT_AVAILABLE,0,false,18,13
3110816328271307520,6.1727805,6.6652703,5.5170183,1.148252,NOT_AVAILABLE,0,false,19,18
876370076542359936,6.7788324,7.154813,6.2237077,0.93110514,NOT_AVAILABLE,0,false,28,26
3145978027229218176,7.9225774,8.424907,7.258793,1.1661139,NOT_AVAILABLE,0,true,44,39
604911375882674560,9.258214,9.965839,8.447231,1.5186081,NOT_AVAILABLE,0,true,40,38
628852004626257152,5.89471,6.172271,5.451187,0.72108364,NOT_AVAILABLE,0,true,23,22
2984998873403435008,9.219028,9.719643,8.552254,1.1673889,NOT_AVAILABLE,0,true,59,57
3374633977170787072,9.144904,9.4708395,8.630536,0.8403034,NOT_AVAILABLE,0,true,23,22
2999846575346395264,12.657924,13.222102,11.945043,1.2770596,NOT_AVAILABLE,0,true,32,32
5648333210624292224,8.814723,9.032862,8.437043,0.5958185,NOT_AVAILABLE,0,true,55,57
3122668346360478976,6.7993484,7.265147,6.1663013,1.098846,NOT_AVAILABLE,0,true,41,39
3122130169776904832,7.3473735,7.570232,6.964384,0.60584784,NOT_AVAILABLE,0,true,33,33
3123093960440054528,7.4150248,7.615551,7.068314,0.5472369,NOT_AVAILABLE,1,false,20,19
3316978400610184832,6.301248,6.8115807,5.6291227,1.1824579,NOT_AVAILABLE,0,true,22,19
3328169371696096384,7.0222483,6.9536257,7.064148,-0.11052227,VARIABLE,0,true,22,20
3124790609962295552,7.1288033,7.6215944,6.473375,1.1482196,NOT_AVAILABLE,0,true,22,22
3323769057442431744,7.44734,8.170101,6.623269,1.5468321,NOT_AVAILABLE,0,false,14,13
5617564477239812864,7.0260973,7.336877,6.545301,0.7915759,NOT_AVAILABLE,0,true,69,71
3111514591172555520,7.67418,8.133948,7.0474954,1.086453,NOT_AVAILABLE,1,true,23,22
3142916535882924416,7.459194,8.228706,6.6046276,1.6240788,NOT_AVAILABLE,0,true,27,27
2889759622882091392,8.226295,8.759469,7.5294967,1.2299724,NOT_AVAILABLE,0,true,42,44
4022846242663965952,8.392918,8.981544,7.6615014,1.3200421,NOT_AVAILABLE,0,true,37,37
3796826582305099520,8.875308,9.295579,8.2924595,1.0031195,NOT_AVAILABLE,0,true,26,27
3812739573575629184,6.2788615,6.4431915,5.9764857,0.4667058,NOT_AVAILABLE,0,false,23,21
3812355328621651328,6.2983956,6.682699,5.745498,0.937201,NOT_AVAILABLE,0,false,29,29
3473922557216744448,8.808534,9.486486,8.007776,1.4787102,NOT_AVAILABLE,0,true,75,74
3922579891837578112,8.090837,8.607946,7.406771,1.2011752,NOT_AVAILABLE,0,false,38,37
3950102622090240896,14.354553,14.972706,13.591517,1.3811884,NOT_AVAILABLE,0,false,39,39
3812733079585100032,10.3177,10.736931,9.723789,1.0131416,NOT_AVAILABLE,2,false,26,27
3473240378970537088,10.016687,10.45874,9.403433,1.0553074,NOT_AVAILABLE,0,true,35,36
3920615854833203328,10.021048,10.282205,9.58883,0.69337463,NOT_AVAILABLE,0,true,43,43
6083695761740022144,13.281072,13.9045515,12.5266695,1.377882,NOT_AVAILABLE,0,true,24,24
3699954179060804864,9.526235,9.767694,9.112026,0.65566826,NOT_AVAILABLE,0,true,52,50
3699954179060804864,9.526235,9.767694,9.112026,0.65566826,NOT_AVAILABLE,0,true,52,50
6149244697914619392,9.047831,9.054572,9.002323,0.052248955,NOT_AVAILABLE,0,true,59,57
1239044708517928064,5.3616366,5.46901,5.1590896,0.3099203,NOT_AVAILABLE,0,true,39,38
1262035427936249728,7.542939,8.023796,6.8887696,1.1350265,NOT_AVAILABLE,0,true,34,32
