CALSPEC_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,ra_or,dec_or,radr3,decdr3,namefits,bestfitFLAG,COMMENT,Sp_simbad,Sp_calspec,Teff,logg,zeta,var,E_BV,RV
WD1105-340,5401688425816913920, 13.6999807, 13.6860476, 13.7713184, -0.0852709,VARIABLE,      0,1.0, 44, 41,     166.9495708000000036,     -34.3476361000000026,     166.9497850554006675,     -34.3488059807205062,wd1105_340_stiswfc_002.fits,  0,OK,DA3.6,DA3.6,     99.0,  99.99,  99.99,,  99.99, 100.00
WD1202-232,3489719481290397696, 12.7380886, 12.8429155, 12.5482512,  0.2946644,NOT_AVAILABLE,      0,1.0, 50, 51,     181.3611416999999904,     -23.5533721999999983,     181.3613440448652909,     -23.5523650308277759,wd1202_232_stiswfc_002.fits,  1,OK,DA5.7,DA5.7,     99.0,  99.99,  99.99,,  99.99, 100.00
WD1327-083,3630035787972473600, 12.3551092, 12.3233767, 12.4575386, -0.1341619,NOT_AVAILABLE,      0,1.0, 35, 33,     202.5568207999999970,      -8.5748528000000004,     202.5518263642616432,      -8.5769524694241603,wd1327_083_stiswfc_004.fits,  1,OK,DA3.5,DA3.5,     99.0,  99.99,  99.99,,  99.99, 100.00
WD1544-377,6009537829925128064, 13.0008078, 13.0359230, 12.9313536,  0.1045694,NOT_AVAILABLE,      0,1.0, 30, 29,     236.8750875000000065,     -37.9190167000000002,     236.8727004363526305,     -37.9199460609940147,wd1544_377_stiswfc_002.fits,  1,OK,DA4.8,DA4.8,     99.0,  99.99,  99.99,,  99.99, 100.00
WD1657+343,1337946019956816256, 16.4215260, 16.2604542, 16.7572575, -0.4968033,NOT_AVAILABLE,      0,1.0, 46, 45,     254.7129707999999937,      34.3148111000000000,     254.7130164180283032,      34.3146726076104187,wd1657_343_stiswfcnic_006.fits,  0,OK,DA.9,DA.9,  45810.0,   7.00,   0.00,,   0.00, 100.00
WD1713+695,1638563322306634368, 13.3278608, 13.2816744, 13.4495449, -0.1678705,VARIABLE,      0,1.0, 38, 35,     258.2753791999999748,      69.5237527999999969,     258.2746730693290829,      69.5222268658957603,wd1713_695_stiswfc_002.fits,  0,OK,DA3.2,DA3.2,     99.0,  99.99,  99.99,,  99.99, 100.00
WD1911+536,2140481412496465152, 13.2471437, 13.1889572, 13.3905773, -0.2016201,VARIABLE,      0,1.0, 37, 38,     288.2023583000000144,      53.7204028000000022,     288.2034452533698641,      53.7210062371116379,wd1911_536_stiswfc_001.fits,  0,OK,DA,DA,     99.0,  99.99,  99.99,,  99.99, 100.00
WD1919+145,4319908862597055232, 13.0189419, 12.9803782, 13.1257010, -0.1453228,NOT_AVAILABLE,      0,1.0, 41, 42,     290.4184083000000101,      14.6781667000000002,     290.4182563607856196,      14.6778304271878977,wd1919_145_stiswfc_001.fits,  1,OK,DA3.3,DA3.3,     99.0,  99.99,  99.99,,  99.99, 100.00
WD2039-682,6424566979354709248, 13.3394747, 13.2878809, 13.4688854, -0.1810045,NOT_AVAILABLE,      0,1.0, 60, 58,     311.0894124999999804,     -68.0892666999999960,     311.0915799648467441,     -68.0902800627277713,wd2039_682_stiswfc_001.fits,  1,OK,DA3.0,DA3.0,     99.0,  99.99,  99.99,,  99.99, 100.00
WD2117+539,2176116580055936512, 12.3932037, 12.3552694, 12.4958658, -0.1405964,NOT_AVAILABLE,      0,1.0, 55, 54,     319.7344332999999779,      54.2114556000000007,     319.7337822945517019,      54.2123152866866604,wd2117_539_stiswfc_002.fits,  1,OK,DA3.4,DA3.4,     99.0,  99.99,  99.99,,  99.99, 100.00
WD2126+734,2274076297221555968, 12.8873272, 12.8360052, 12.9889755, -0.1529703,NOT_AVAILABLE,      0,1.0, 38, 34,     321.7402332999999999,      73.6457417000000021,     321.7411073722627748,      73.6443447416998822,wd2126_734_stiswfc_002.fits,  0,OK,DA3.1,DA3.1,     99.0,  99.99,  99.99,,  99.99, 100.00
WD2149+021,2693940725141960192, 12.7767496, 12.7134771, 12.9301100, -0.2166328,NOT_AVAILABLE,      0,1.0, 25, 23,     328.1057458000000224,       2.3887722000000000,     328.1058138452950743,       2.3874354563680318,wd2149_021_stiswfc_001.fits,  1,OK,DA2.8,DA2.8,     99.0,  99.99,  99.99,,  99.99, 100.00
WD2341+322,2871730307948650368, 12.9669209, 12.9641352, 13.0074120, -0.0432768,NOT_AVAILABLE,      0,1.0, 37, 38,     355.9613375000000133,      32.5463139000000012,     355.9602000462695059,      32.5460473340951353,wd2341_322_stiswfc_004.fits,  1,OK,DA3.8,DA3.8,     99.0,  99.99,  99.99,,  99.99, 100.00
