SPSS_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,bestfitFLAG,COMMENT,ra_or,dec_or, radr3, decdr3
        17,      6749419923164242816, 12.2587872, 12.2149935, 12.3702631, -0.1552696,NOT_AVAILABLE,      0,true, 35, 35,  1,OK,     302.7351163460641601,     -30.2196160971713859,     302.7351163460641033,     -30.2196160971714178
        19,      2693940725141960192, 12.7767496, 12.7134771, 12.9301100, -0.2166328,NOT_AVAILABLE,      0,true, 25, 23,  1,OK,     328.1058138452950175,       2.3874354563680553,     328.1058138452950743,       2.3874354563680322
        23,      2633603478379307904, 11.7725210, 11.6137171, 12.1028080, -0.4890909,NOT_AVAILABLE,      0,true, 27, 27,  1,OK,     349.9932939389358353,      -5.1656057255894448,     349.9932939389364037,      -5.1656057255894936
        27,      3935488605023787392, 11.7547359, 11.5737228, 12.1079950, -0.5342722,NOT_AVAILABLE,      0,true, 51, 50,  1,OK,     190.4657916507547100,      17.5221529352090997,     190.4657582333006189,      17.5219872561337588
        30,      3657546118655166080, 10.2168264, 10.1115379, 10.3891163, -0.2775784,NOT_AVAILABLE,      0,true, 25, 24,  0,OK,     209.7131960145141818,      -2.9144582344944445,     209.7131960145144944,      -2.9144582344944725
        32,      4416639085227405952,  8.9578781,  9.1512909,  8.6080990,  0.5431919,NOT_AVAILABLE,      0,true, 23, 22,  1,OK,     234.2003992440920683,      -0.2518577364725000,     234.2003992440918978,      -0.2518577364725347
        33,      6210089815971933056, 11.6325846, 11.9164066, 11.1755638,  0.7408428,NOT_AVAILABLE,      0,true, 27, 27,  1,OK,     234.7473508223520753,     -28.5943910799838861,     234.7473508223519332,     -28.5943910799837973
        35,      1634280312200704768, 13.4711504, 13.6078463, 13.2368307,  0.3710155,VARIABLE,      0,true,105,105,  0,Var,     265.7687029043779035,      66.9171161332908326,     265.7687029043779603,      66.9171161332906621
        36,      2161093682102883712, 12.2869501, 12.3421392, 12.1827669,  0.1593723,NOT_AVAILABLE,      0,true, 42, 39,  0,OK,     271.3719642653541086,      64.4645243997880613,     271.3719642653538813,      64.4645243997881323
        37,      2160839724980689408, 11.7166319, 11.8057041, 11.5481720,  0.2575321,NOT_AVAILABLE,      0,true, 37, 37,  0,OK,     273.0399037735449497,      63.4950776393341698,     273.0399037735449497,      63.4950776393342693
        38,      5006170763042068480, 11.0994148, 11.3488789, 10.6879845,  0.6608944,NOT_AVAILABLE,      0,true, 36, 36,  0,OK,      10.4455009663923999,     -33.6523416795480017,      10.4454101871489105,     -33.6524253167095964
        39,      5024640977840398848, 11.3427067, 11.6511641, 10.8538551,  0.7973089,NOT_AVAILABLE,      0,true, 57, 57,  1,OK,      28.7110174709712496,     -27.4776256173149989,      28.7110174709711465,     -27.4776256173150664
        41,      5444093531284061568, 12.0156851, 12.2929316, 11.5675411,  0.7253904,NOT_AVAILABLE,      0,true, 65, 64,  0,OK,     158.0553180217291640,     -35.6282731876391665,     158.0553180217288514,     -35.6282731876391736
        43,      1399559249961569792, 13.3235836, 13.6533146, 12.8240290,  0.8292856,NOT_AVAILABLE,      0,true, 36, 35,  0,OK,     239.8065252082620589,      47.6116472532486128,     239.8065252082623715,      47.6116472532485702
        44,      1312054926303736704, 12.8499737, 13.1770039, 12.3583689,  0.8186350,NOT_AVAILABLE,      0,true, 55, 56,  0,OK,     247.8908849319977890,      30.1462214954210985,     247.8908392831041567,      30.1460494720658545
        45,      1633294634388508416, 13.0450420, 13.5367765, 12.3948870,  1.1418896,NOT_AVAILABLE,      0,true,111,110,  1,OK,     268.8175893475600446,      66.1698623451299994,     268.8175893475595331,      66.1698623451300421
        47,      1633376204407124352, 13.6196899, 14.2293158, 12.8753948,  1.3539209,NOT_AVAILABLE,      0,true,251,244,  1,OK,     269.6583177662349726,      66.7811227079222220,     269.6583177662346884,      66.7811227079220657
        48,      2257926365492000768, 13.3141975, 13.8684750, 12.6170073,  1.2514677,NOT_AVAILABLE,      0,true,119,113,  0,OK,     271.0162243579526944,      66.9288360367531965,     271.0162201814762284,      66.9288382157053832
